So,Vhex,Si_scale,Km_scale,c_scale,Fhex
0.01394242,3.81937755,0.1000000000,0.1000000000,0.3858300000,0.0000038282
0.01414434,3.8195572,0.1000000000,0.1000000000,0.3858300000,0.0000038282
0.01434626,3.81972863,0.1000000000,0.1000000000,0.3858300000,0.0000038282
0.01454818,3.81989234,0.1000000000,0.1000000000,0.3858300000,0.0000038282
0.0147501,3.82004898,0.1000000000,0.1000000000,0.3858300000,0.0000038282
0.01495202,3.820199,0.1000000000,0.1000000000,0.3858300000,0.0000038282
0.01515394,3.82034237,0.1000000000,0.1000000000,0.3858300000,0.0000038282
0.01535586,3.82048003,0.1000000000,0.1000000000,0.3858300000,0.0000038282
0.01555778,3.82061252,0.1000000000,0.1000000000,0.3858300000,0.0000038282
0.0157597,3.82073947,0.1000000000,0.1000000000,0.3858300000,0.0000038282
0.01596162,3.82086125,0.1000000000,0.1000000000,0.3858300000,0.0000038282
0.01616354,3.82097908,0.1000000000,0.1000000000,0.3858300000,0.0000038282
0.01636545,3.82109174,0.1000000000,0.1000000000,0.3858300000,0.0000038282
0.01656737,3.8212007,0.1000000000,0.1000000000,0.3858300000,0.0000038282
0.01676929,3.82130552,0.1000000000,0.1000000000,0.3858300000,0.0000038282
0.01697121,3.82140675,0.1000000000,0.1000000000,0.3858300000,0.0000038282
0.01717313,3.82150439,0.1000000000,0.1000000000,0.3858300000,0.0000038282
0.01737505,3.82159882,0.1000000000,0.1000000000,0.3858300000,0.0000038282
0.01757697,3.82169011,0.1000000000,0.1000000000,0.3858300000,0.0000038282
0.01777889,3.82177811,0.1000000000,0.1000000000,0.3858300000,0.0000038282
0.01798081,3.82186343,0.1000000000,0.1000000000,0.3858300000,0.0000038282
0.01818273,3.82194593,0.1000000000,0.1000000000,0.3858300000,0.0000038282
0.01838465,3.82202597,0.1000000000,0.1000000000,0.3858300000,0.0000038282
0.01858657,3.82210329,0.1000000000,0.1000000000,0.3858300000,0.0000038282
0.01878848,3.82217805,0.1000000000,0.1000000000,0.3858300000,0.0000038282
0.0189904,3.82225082,0.1000000000,0.1000000000,0.3858300000,0.0000038282
0.01919232,3.82232135,0.1000000000,0.1000000000,0.3858300000,0.0000038282
0.01939424,3.82238957,0.1000000000,0.1000000000,0.3858300000,0.0000038282
0.01959616,3.82245619,0.1000000000,0.1000000000,0.3858300000,0.0000038282
0.01979808,3.82252047,0.1000000000,0.1000000000,0.3858300000,0.0000038282
0.02,3.82258346,0.1000000000,0.1000000000,0.3858300000,0.0000038282
0.00001,0.01413229,0.1778279410,0.1000000000,0.3978400000,0.0000037600
0.00021192,0.28795428,0.1778279410,0.1000000000,0.3978400000,0.0000037600
0.00041384,0.54174446,0.1778279410,0.1000000000,0.3978400000,0.0000037600
0.00061576,0.77795445,0.1778279410,0.1000000000,0.3978400000,0.0000037600
0.00081768,0.99861709,0.1778279410,0.1000000000,0.3978400000,0.0000037600
0.0010196,1.20544046,0.1778279410,0.1000000000,0.3978400000,0.0000037600
0.00122152,1.39983248,0.1778279410,0.1000000000,0.3978400000,0.0000037600
